Geography,total,englishOnly,spanish,spanWell,spanLess,french,frenWell,frenLess,german,germWell,germLess,russian,russWell,russLess,indoEuro,indoWell,indoLess,korean,koreWell,koreLess,chinese,chinWell,chinLess,vietnamese,vietWell,vietLess,tagolog,tagoWell,tagoLess,otherAsian,otherAzWell,otherAzLess,arabic,arabWell,arabLess,other,otherWell,otherLess,shareEng,shareSpan,shareFren,shareGerm,shareRuss,shareIndo,shareKore,shareChin,shareViet,shareTago,shareOtherAz,shareArab,shareOther
Oregon,3793273,3214945,343032,207448,135584,11201,9545,1656,17497,16040,1457,33107,19824,13283,35090,25643,9447,9897,5200,4697,29681,14298,15383,24966,9658,15308,10552,7399,3153,39317,24893,14424,8056,5307,2749,15932,10645,5287,84.7538524,9.0431667,0.2952859,0.4612639,0.8727819,0.9250586,0.2609092,0.7824641,0.6581651,0.2781767,1.0364928,0.212376,0.4200067
Baker,15172,14566,360,199,161,31,31,0,81,79,2,25,25,0,23,13,10,15,11,4,5,5,0,34,25,9,4,0,4,4,4,0,0,0,0,24,24,0,96.0058002,2.372792,0.2043238,0.5338782,0.1647772,0.151595,0.0988663,0.0329554,0.224097,0.0263644,0.0263644,0,0.1581861
Benton,84541,72748,4912,3810,1102,269,252,17,529,495,34,258,249,9,866,623,243,580,182,398,2126,964,1162,273,233,40,120,95,25,984,667,317,476,303,173,400,370,30,86.0505554,5.8101986,0.3181888,0.6257319,0.3051774,1.024355,0.6860577,2.5147562,0.3229202,0.141943,1.1639323,0.5630404,0.4731432
Clackamas,378115,332299,22019,13998,8021,1244,998,246,1836,1640,196,5499,3627,1872,3769,2896,873,866,437,429,3588,2041,1547,1728,829,899,1003,756,247,2968,1871,1097,697,513,184,599,430,169,87.8830515,5.8233606,0.3290004,0.4855666,1.4543195,0.9967867,0.2290309,0.9489177,0.4570038,0.2652632,0.7849464,0.1843355,0.1584174
Clatsop,35948,32873,2151,1401,750,219,219,0,174,160,14,56,43,13,85,85,0,10,10,0,58,26,32,21,0,21,35,29,6,186,124,62,15,7,8,65,14,51,91.4459775,5.983643,0.6092133,0.4840325,0.1557806,0.2364527,0.027818,0.1613442,0.0584177,0.0973629,0.517414,0.0417269,0.1808167
Columbia,47601,45705,1131,659,472,70,70,0,87,87,0,31,31,0,95,73,22,4,0,4,126,51,75,30,13,17,89,46,43,206,183,23,0,0,0,27,12,15,96.0168904,2.3760005,0.1470557,0.1827693,0.0651247,0.1995756,0.00840318,0.2647003,0.0630239,0.1869709,0.432764,0,0.0567215
Coos,59810,56747,1882,1236,646,64,13,51,382,358,24,69,61,8,109,93,16,71,35,36,133,102,31,77,36,41,63,40,23,145,119,26,0,0,0,68,68,0,94.8787828,3.146631,0.1070055,0.6386892,0.1153653,0.1822438,0.1187092,0.2223708,0.128741,0.1053336,0.2424344,0,0.1136934
Crook,20732,19365,976,763,213,13,13,0,119,119,0,85,85,0,22,22,0,0,0,0,1,1,0,17,17,0,11,0,11,107,89,18,0,0,0,16,16,0,93.4063284,4.7076982,0.062705,0.5739919,0.4099942,0.1061161,0,0.00482346,0.0819988,0.0530581,0.5161104,0,0.0771754
Curry,21518,20466,540,359,181,52,52,0,122,120,2,78,48,30,175,114,61,0,0,0,61,27,34,0,0,0,6,6,0,15,15,0,0,0,0,3,3,0,95.1110698,2.5095269,0.2416581,0.5669672,0.3624872,0.8132726,0,0.2834836,0,0.0278836,0.0697091,0,0.0139418
Deschutes,166081,155403,7520,5012,2508,241,184,57,777,686,91,121,74,47,581,511,70,231,101,130,202,35,167,113,0,113,161,107,54,527,350,177,77,71,6,127,87,40,93.5706071,4.5279111,0.1451099,0.467844,0.072856,0.3498293,0.1390888,0.1216274,0.0680391,0.0969406,0.317315,0.0463629,0.0764687
Douglas,102020,98160,2314,1506,808,100,77,23,390,355,35,95,62,33,169,98,71,130,123,7,141,44,97,161,109,52,72,44,28,146,141,5,39,39,0,103,62,41,96.2164282,2.2681827,0.09802,0.382278,0.093119,0.1656538,0.127426,0.1382082,0.1578122,0.0705744,0.1431092,0.0382278,0.1009606
Gilliam,1805,1686,104,72,32,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,93.4072022,5.7617729,0,0,0,0.2216066,0,0.2770083,0,0,0.33241,0,0
Grant,6882,6558,203,141,62,25,24,1,12,10,2,14,12,2,33,23,10,0,0,0,19,19,0,0,0,0,3,3,0,7,5,2,5,5,0,3,3,0,95.2920663,2.9497239,0.3632665,0.1743679,0.2034292,0.4795118,0,0.2760825,0,0.043592,0.1017146,0.0726533,0.043592
Harney,6805,6378,243,159,84,5,0,5,12,12,0,0,0,0,50,23,27,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,105,88,17,93.7252021,3.5709037,0.0734754,0.1763409,0,0.7347539,0,0,0,0,0.1763409,0,1.5429831
Hood River,21420,15320,5660,2438,3222,107,107,0,28,28,0,116,29,87,14,14,0,59,6,53,63,63,0,24,0,24,20,20,0,9,0,9,0,0,0,0,0,0,71.5219421,26.4239029,0.4995331,0.130719,0.54155,0.0653595,0.2754435,0.2941176,0.1120448,0.0933707,0.0420168,0,0
Jackson,200037,181011,15244,9622,5622,398,309,89,788,679,109,222,192,30,647,536,111,226,145,81,344,195,149,201,5,196,259,146,113,471,343,128,71,63,8,155,94,61,90.4887596,7.6205902,0.1989632,0.3939271,0.1109795,0.3234402,0.1129791,0.1719682,0.1004814,0.129476,0.2354564,0.0354934,0.0774857
Jefferson,21252,17716,2997,1987,1010,16,16,0,26,26,0,9,9,0,16,10,6,20,20,0,45,2,43,9,9,0,38,34,4,29,29,0,0,0,0,331,317,14,83.361566,14.1022021,0.075287,0.1223414,0.042349,0.075287,0.0941088,0.2117448,0.042349,0.1788067,0.1364577,0,1.5575005
Josephine,80435,76352,2882,2004,878,236,228,8,313,243,70,23,23,0,206,184,22,0,0,0,33,0,33,19,0,19,131,120,11,209,172,37,0,0,0,31,29,2,94.9238516,3.5830173,0.2934046,0.3891341,0.0285945,0.2561074,0,0.0410269,0.0236216,0.1628644,0.2598371,0,0.0385404
Klamath,61959,56802,4126,2448,1678,152,130,22,180,180,0,56,42,14,91,50,41,25,0,25,114,34,80,10,6,4,148,87,61,63,37,26,88,78,10,104,99,5,91.676754,6.6592424,0.2453235,0.2905147,0.0903823,0.1468713,0.0403493,0.1839926,0.0161397,0.2388676,0.1016801,0.1420294,0.1678529
Lake,7390,7064,223,114,109,0,0,0,8,8,0,13,8,5,20,20,0,0,0,0,11,7,4,0,0,0,9,0,9,35,30,5,0,0,0,7,7,0,95.5886333,3.0175913,0,0.1082544,0.1759134,0.270636,0,0.1488498,0,0.1217862,0.473613,0,0.0947226
Lane,345275,315612,17211,11856,5355,945,869,76,1610,1486,124,598,460,138,1708,1440,268,995,531,464,2741,1080,1661,488,301,187,453,362,91,1767,1345,422,477,286,191,670,567,103,91.408877,4.9847223,0.2736949,0.466295,0.1731953,0.4946782,0.2881761,0.79386,0.1413366,0.1311998,0.511766,0.1381507,0.1940482
Lincoln,44990,41488,2772,1840,932,52,48,4,102,93,9,26,26,0,61,54,7,55,17,38,100,5,95,20,15,5,52,28,24,191,185,6,16,16,0,55,44,11,92.216048,6.1613692,0.1155812,0.226717,0.0577906,0.1355857,0.1222494,0.2222716,0.0444543,0.1155812,0.4245388,0.0355635,0.1222494
Linn,113646,105243,6380,4480,1900,163,163,0,323,308,15,293,245,48,166,135,31,66,58,8,152,36,116,74,57,17,161,43,118,336,277,59,78,78,0,211,171,40,92.605987,5.6139239,0.1434278,0.2842159,0.2578181,0.1460676,0.0580751,0.1337487,0.0651145,0.141668,0.2956549,0.0686342,0.1856643
Malheur,28297,21286,6566,4360,2206,3,3,0,72,67,5,17,17,0,20,12,8,0,0,0,147,103,44,4,4,0,20,20,0,112,29,83,0,0,0,50,28,22,75.2235219,23.2038732,0.0106018,0.2544439,0.060077,0.0706789,0,0.5194897,0.0141358,0.0706789,0.3958017,0,0.1766972
Marion,307963,230595,62669,34688,27981,517,392,125,1016,914,102,4934,3235,1699,1360,1029,331,209,88,121,935,253,682,1130,427,703,737,465,272,2971,1985,986,437,383,54,453,303,150,74.8775015,20.3495225,0.1678773,0.3299098,1.6021405,0.4416115,0.0678653,0.3036079,0.3669272,0.2393145,0.9647263,0.1419002,0.1470956
Morrow,10333,7112,3136,1527,1609,2,0,2,25,13,12,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,13,13,0,30,30,0,0,0,0,7,0,7,68.8280267,30.3493661,0.0193555,0.2419433,0,0.0774219,0,0,0,0.1258105,0.2903319,0,0.0677441
Multnomah,742626,593851,61178,37628,23550,4080,3481,599,4407,4144,263,16142,8529,7613,9945,6502,3443,1573,805,768,10265,4365,5900,14332,5044,9288,2680,1943,737,13357,7097,6260,2117,1147,970,8699,5227,3472,79.9663626,8.2380633,0.5494017,0.5934346,2.1736379,1.3391667,0.2118159,1.382257,1.9299082,0.3608815,1.7986173,0.2850695,1.1713837
Polk,75055,64301,8123,5218,2905,98,95,3,282,258,24,185,114,71,360,284,76,124,105,19,492,254,238,20,20,0,120,117,3,431,187,244,244,78,166,275,227,48,85.6718407,10.82273,0.1305709,0.3757245,0.2464859,0.4796483,0.1652122,0.6555193,0.0266471,0.1598828,0.5742456,0.3250949,0.366398
Sherman,1578,1534,41,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,97.2116603,2.5982256,0,0,0,0,0,0,0,0,0,0,0.1901141
Tillamook,24567,22615,1699,1008,691,12,11,1,27,27,0,2,2,0,106,106,0,0,0,0,30,28,2,0,0,0,0,0,0,51,51,0,0,0,0,25,9,16,92.0543819,6.9157813,0.048846,0.1099035,0.008141,0.4314731,0,0.122115,0,0,0.2075956,0,0.1017625
Umatilla,71392,55210,15353,8006,7347,42,42,0,84,80,4,64,59,5,102,87,15,0,0,0,4,2,2,65,19,46,120,63,57,154,118,36,15,15,0,179,173,6,77.3335948,21.5052107,0.0588301,0.1176602,0.0896459,0.1428732,0,0.00560287,0.0910466,0.1680861,0.2157104,0.0210108,0.2507284
Union,24318,23069,700,417,283,32,21,11,100,100,0,20,10,10,71,43,28,0,0,0,26,13,13,5,0,5,34,13,21,227,180,47,5,5,0,29,29,0,94.8638868,2.8785262,0.1315898,0.411218,0.0822436,0.2919648,0,0.1069167,0.0205609,0.1398141,0.9334649,0.0205609,0.1192532
